General Ledger,,,,,,,Report Date: 27-AUG-2018
,,,,,,,
PT. HADJI KALLA,,,,,,,
Buku Besar 4111101 s.d 4111101,,,,,,,
Product 305,,,,,,,
Tanggal 01-Jan-18 s.d 31-Jan-18,,,,,,,
Branch,140401,,,,Kolaka,,
Account,4111101,,,,Penjualan,,
Tgl. Bukti,No. Bukti,Accounting Date,Keterangan,No. Reff,Debet (Rp.),Kredit (Rp.),Saldo (Rp.)
,,Beginning Balance (Saldo Awal),,,,,0.00
05-Jan-18,216-GA1801R1048333,05-Jan-18,,Sales Invoices,0.00,"1,231,814.09","-45,101,634.33"
05-Jan-18,216-GA1801R1048334,05-Jan-18,,Sales Invoices,0.00,"838,293.64","-45,939,927.97"
05-Jan-18,216-GA1801R1048335,05-Jan-18,,Sales Invoices,0.00,"1,949,357.27","-47,889,285.24"
05-Jan-18,216-GA1801R1048336,05-Jan-18,,Sales Invoices,0.00,"1,326,680.00","-49,215,965.24"
05-Jan-18,216-GA1801R1048337,05-Jan-18,,Sales Invoices,0.00,"1,630,381.82","-50,846,347.06"
05-Jan-18,216-GA1801R1048338,05-Jan-18,,Sales Invoices,0.00,"667,365.45","-51,513,712.51"
05-Jan-18,216-GA1801R1048339,05-Jan-18,,Sales Invoices,0.00,"1,396,025.91","-52,909,738.42"
05-Jan-18,216-GA1801R1048342,05-Jan-18,,Sales Invoices,0.00,"1,897,726.09","-54,807,464.51"
05-Jan-18,216-GA1801R1048343,05-Jan-18,,Sales Invoices,0.00,"2,939,840.64","-57,747,305.15"
05-Jan-18,216-GA1801R1048344,05-Jan-18,,Sales Invoices,0.00,"1,134,206.36","-58,881,511.51"
05-Jan-18,216-GA1801R1048345,05-Jan-18,,Sales Invoices,0.00,"1,350,853.18","-60,232,364.69"
05-Jan-18,216-GA1801R1048346,05-Jan-18,,Sales Invoices,0.00,"54,543.64","-60,286,908.33"
06-Jan-18,216-GA1801R1048347,06-Jan-18,,Sales Invoices,0.00,"1,028,021.82","-61,314,930.15"
06-Jan-18,216-GA1801R1048348,06-Jan-18,,Sales Invoices,0.00,"725,142.72","-62,040,072.87"
06-Jan-18,216-GA1801R1048349,06-Jan-18,,Sales Invoices,0.00,"1,032,750.00","-63,072,822.87"
06-Jan-18,216-GA1801R1048350,06-Jan-18,,Sales Invoices,0.00,"1,401,484.09","-64,474,306.96"
06-Jan-18,216-GA1801R1048353,06-Jan-18,,Sales Invoices,0.00,"1,362,688.18","-65,836,995.14"
06-Jan-18,216-GA1801R1048354,06-Jan-18,,Sales Invoices,0.00,"793,570.00","-66,630,565.14"
06-Jan-18,216-GA1801R1048355,06-Jan-18,,Sales Invoices,0.00,"2,089,969.09","-68,720,534.23"
06-Jan-18,216-GA1801R1048356,06-Jan-18,,Sales Invoices,0.00,"1,633,596.36","-70,354,130.59"
06-Jan-18,216-GA1801R1048357,06-Jan-18,,Sales Invoices,0.00,"604,732.73","-70,958,863.32"
06-Jan-18,216-GA1801R1048358,06-Jan-18,,Sales Invoices,0.00,"192,500.00","-71,151,363.32"
06-Jan-18,216-GA1801R1048359,06-Jan-18,,Sales Invoices,0.00,"157,500.00","-71,308,863.32"
06-Jan-18,216-GA1801R1048360,06-Jan-18,,Sales Invoices,0.00,"1,266,249.09","-72,575,112.41"
06-Jan-18,216-GA1801R1048361,06-Jan-18,,Sales Invoices,0.00,"1,411,306.73","-73,986,419.14"
06-Jan-18,216-GA1801R1048385,06-Jan-18,,Sales Invoices,0.00,"316,635.82","-74,303,054.96"
08-Jan-18,216-GA1801R1048364,08-Jan-18,,Sales Invoices,0.00,"2,662,131.82","-76,965,186.78"
08-Jan-18,216-GA1801R1048365,08-Jan-18,,Sales Invoices,0.00,"737,840.91","-77,703,027.69"
08-Jan-18,216-GA1801R1048366,08-Jan-18,,Sales Invoices,0.00,"612,090.91","-78,315,118.60"
08-Jan-18,216-GA1801R1048367,08-Jan-18,,Sales Invoices,0.00,"364,979.09","-78,680,097.69"
08-Jan-18,216-GA1801R1048368,08-Jan-18,,Sales Invoices,0.00,"970,340.00","-79,650,437.69"
08-Jan-18,216-GA1801R1048369,08-Jan-18,,Sales Invoices,0.00,"1,088,574.09","-80,739,011.78"
08-Jan-18,216-GA1801R1048370,08-Jan-18,,Sales Invoices,0.00,"1,390,079.55","-82,129,091.33"
08-Jan-18,216-GA1801R1048371,08-Jan-18,,Sales Invoices,0.00,"1,191,813.18","-83,320,904.51"
08-Jan-18,216-GA1801R1048373,08-Jan-18,,Sales Invoices,0.00,"490,340.91","-83,811,245.42"
08-Jan-18,216-GA1801R1048374,08-Jan-18,,Sales Invoices,0.00,"827,272.73","-84,638,518.15"
08-Jan-18,216-GA1801R1048375,08-Jan-18,,Sales Invoices,0.00,"828,849.55","-85,467,367.70"
08-Jan-18,216-GA1801R1048376,08-Jan-18,,Sales Invoices,0.00,"826,907.27","-86,294,274.97"
08-Jan-18,216-GA1801R1048377,08-Jan-18,,Sales Invoices,0.00,"148,005.00","-86,442,279.97"
08-Jan-18,216-GA1801R1048378,08-Jan-18,,Sales Invoices,0.00,"442,750.00","-86,885,029.97"
08-Jan-18,216-GA1801R1048379,08-Jan-18,,Sales Invoices,0.00,"89,681.82","-86,974,711.79"
08-Jan-18,216-GA1801R1048380,08-Jan-18,,Sales Invoices,0.00,"777,386.36","-87,752,098.15"
08-Jan-18,216-GA1801R1048381,08-Jan-18,,Sales Invoices,0.00,"1,088,090.00","-88,840,188.15"
08-Jan-18,216-GA1801R1048386,08-Jan-18,,Sales Invoices,0.00,"1,592,316.36","-90,432,504.51"
09-Jan-18,216-GA1801R1048387,09-Jan-18,,Sales Invoices,0.00,"35,000.00","-90,467,504.51"
09-Jan-18,216-GA1801R1048390,09-Jan-18,,Sales Invoices,0.00,"158,181.82","-90,625,686.33"
09-Jan-18,216-GA1801R1048391,09-Jan-18,,Sales Invoices,0.00,"192,500.00","-90,818,186.33"
09-Jan-18,216-GA1801R1048392,09-Jan-18,,Sales Invoices,0.00,"924,276.73","-91,742,463.06"
09-Jan-18,216-GA1801R1048393,09-Jan-18,,Sales Invoices,0.00,"819,250.00","-92,561,713.06"
09-Jan-18,216-GA1801R1048396,09-Jan-18,,Sales Invoices,0.00,"577,500.00","-93,139,213.06"
