General Ledger,,,,,,,Report Date: 27-AUG-2018
,,,,,,,
PT. HADJI KALLA,,,,,,,
Buku Besar 4111101 s.d 4111101,,,,,,,
Product 305,,,,,,,
Tanggal 01-Jan-18 s.d 31-Jan-18,,,,,,,
Branch,140401,,,,Kolaka,,
Account,4111101,,,,Penjualan,,
Tgl. Bukti,No. Bukti,Accounting Date,Keterangan,No. Reff,Debet (Rp.),Kredit (Rp.),Saldo (Rp.)
,,Beginning Balance (Saldo Awal),,,,,0.00
17-Jan-18,216-GA1801R1048611,17-Jan-18,,Sales Invoices,0.00,"26,250.00","-231,852,387.82"
17-Jan-18,216-GA1801R1048612,17-Jan-18,,Sales Invoices,0.00,"1,785,792.73","-233,638,180.55"
17-Jan-18,216-GA1801R1048613,17-Jan-18,,Sales Invoices,0.00,"825,847.73","-234,464,028.28"
17-Jan-18,216-GA1801R1048614,17-Jan-18,,Sales Invoices,0.00,"784,115.45","-235,248,143.73"
17-Jan-18,216-GA1801R1048617,17-Jan-18,,Sales Invoices,0.00,"2,044,817.91","-237,292,961.64"
17-Jan-18,216-GA1801R1048622,17-Jan-18,,Sales Invoices,0.00,"672,880.27","-237,965,841.91"
17-Jan-18,216-GA1801R1048623,17-Jan-18,,Sales Invoices,0.00,"1,014,022.73","-238,979,864.64"
17-Jan-18,216-GA1801R1048626,17-Jan-18,,Sales Invoices,0.00,"931,814.09","-239,911,678.73"
17-Jan-18,216-GA1801R1048627,17-Jan-18,,Sales Invoices,0.00,"109,090.00","-240,020,768.73"
17-Jan-18,216-GA1801R1048628,17-Jan-18,,Sales Invoices,0.00,"274,818.18","-240,295,586.91"
18-Jan-18,216-GA1801R1048636,18-Jan-18,,Sales Invoices,0.00,"782,670.45","-241,078,257.36"
18-Jan-18,216-GA1801R1048640,18-Jan-18,,Sales Invoices,0.00,"266,390.00","-241,344,647.36"
18-Jan-18,216-GA1801R1048642,18-Jan-18,,Sales Invoices,0.00,"882,589.09","-242,227,236.45"
18-Jan-18,216-GA1801R1048643,18-Jan-18,,Sales Invoices,0.00,"510,795.45","-242,738,031.90"
18-Jan-18,216-GA1801R1048644,18-Jan-18,,Sales Invoices,0.00,"393,632.73","-243,131,664.63"
18-Jan-18,216-GA1801R1048645,18-Jan-18,,Sales Invoices,0.00,"2,243,525.91","-245,375,190.54"
18-Jan-18,216-GA1801R1048646,18-Jan-18,,Sales Invoices,0.00,"1,109,125.00","-246,484,315.54"
18-Jan-18,216-GA1801R1048648,18-Jan-18,,Sales Invoices,0.00,"2,360,731.82","-248,845,047.36"
18-Jan-18,216-GA1801R1048649,18-Jan-18,,Sales Invoices,0.00,"791,750.00","-249,636,797.36"
18-Jan-18,216-GA1801R1048652,18-Jan-18,,Sales Invoices,0.00,"1,535,805.91","-251,172,603.27"
19-Jan-18,216-GA1801R1048654,19-Jan-18,,Sales Invoices,0.00,"897,500.00","-252,070,103.27"
19-Jan-18,216-GA1801R1048655,19-Jan-18,,Sales Invoices,0.00,"1,399,160.91","-253,469,264.18"
19-Jan-18,216-GA1801R1048658,19-Jan-18,,Sales Invoices,0.00,"1,096,712.27","-254,565,976.45"
19-Jan-18,216-GA1801R1048662,19-Jan-18,,Sales Invoices,0.00,"598,975.45","-255,164,951.90"
19-Jan-18,216-GA1801R1048667,19-Jan-18,,Sales Invoices,0.00,"747,839.09","-255,912,790.99"
19-Jan-18,216-GA1801R1048668,19-Jan-18,,Sales Invoices,0.00,"249,409.09","-256,162,200.08"
19-Jan-18,216-GA1801R1048669,19-Jan-18,,Sales Invoices,0.00,"825,849.55","-256,988,049.63"
19-Jan-18,216-GA1801R1048670,19-Jan-18,,Sales Invoices,0.00,"258,229.09","-257,246,278.72"
19-Jan-18,216-GA1801R1048673,19-Jan-18,,Sales Invoices,0.00,"1,057,847.73","-258,304,126.45"
19-Jan-18,216-GA1801R1048674,19-Jan-18,,Sales Invoices,0.00,"1,179,969.09","-259,484,095.54"
19-Jan-18,216-GA1801R1048675,19-Jan-18,,Sales Invoices,0.00,"524,547.27","-260,008,642.81"
19-Jan-18,216-GA1801R1048681,19-Jan-18,,Sales Invoices,0.00,"979,416.36","-260,988,059.17"
19-Jan-18,216-GA1801R1048682,19-Jan-18,,Sales Invoices,0.00,"643,910.91","-261,631,970.08"
19-Jan-18,216-GA1801R1048683,19-Jan-18,,Sales Invoices,0.00,"974,007.91","-262,605,977.99"
19-Jan-18,216-GA1801R1048684,19-Jan-18,,Sales Invoices,0.00,"2,024,861.82","-264,630,839.81"
19-Jan-18,216-GA1801R1048685,19-Jan-18,,Sales Invoices,0.00,"767,178.18","-265,398,017.99"
19-Jan-18,216-GA1801R1048686,19-Jan-18,,Sales Invoices,0.00,"1,294,749.09","-266,692,767.08"
19-Jan-18,216-GA1801R1048689,19-Jan-18,,Sales Invoices,0.00,"1,216,590.00","-267,909,357.08"
19-Jan-18,216-GA1801R1048690,19-Jan-18,,Sales Invoices,0.00,"1,045,170.45","-268,954,527.53"
19-Jan-18,216-GA1801R1048691,19-Jan-18,,Sales Invoices,0.00,"2,963,700.91","-271,918,228.44"
19-Jan-18,216-GA1801R1048692,19-Jan-18,,Sales Invoices,0.00,"770,040.91","-272,688,269.35"
19-Jan-18,216-GA1801R1048694,19-Jan-18,,Sales Invoices,0.00,"1,803,045.45","-274,491,314.80"
19-Jan-18,216-GA1801R1048696,19-Jan-18,,Sales Invoices,0.00,"256,000.00","-274,747,314.80"
19-Jan-18,216-WA1801R1048678,19-Jan-18,,Sales Invoices,0.00,"606,363.64","-275,353,678.44"
19-Jan-18,216-WA1801R1048679,19-Jan-18,,Sales Invoices,0.00,"1,372,910.00","-276,726,588.44"
19-Jan-18,216-WA1801R1048680,19-Jan-18,,Sales Invoices,0.00,"1,372,910.00","-278,099,498.44"
20-Jan-18,216-GA1801R1048698,20-Jan-18,,Sales Invoices,0.00,"262,005.45","-278,361,503.89"
20-Jan-18,216-GA1801R1048699,20-Jan-18,,Sales Invoices,0.00,"635,092.73","-278,996,596.62"
20-Jan-18,216-GA1801R1048700,20-Jan-18,,Sales Invoices,0.00,"1,272,142.73","-280,268,739.35"
20-Jan-18,216-GA1801R1048701,20-Jan-18,,Sales Invoices,0.00,"1,405,532.73","-281,674,272.08"
20-Jan-18,216-GA1801R1048702,20-Jan-18,,Sales Invoices,0.00,"81,817.27","-281,756,089.35"
20-Jan-18,216-GA1801R1048706,20-Jan-18,,Sales Invoices,0.00,"936,227.27","-282,692,316.62"
20-Jan-18,216-GA1801R1048708,20-Jan-18,,Sales Invoices,0.00,"1,156,083.64","-283,848,400.26"
20-Jan-18,216-GA1801R1048710,20-Jan-18,,Sales Invoices,0.00,"1,749,936.82","-285,598,337.08"
20-Jan-18,216-GA1801R1048711,20-Jan-18,,Sales Invoices,0.00,"738,863.64","-286,337,200.72"
22-Jan-18,216-GA1801R1048715,22-Jan-18,,Sales Invoices,0.00,"3,767,726.36","-290,104,927.08"
22-Jan-18,216-GA1801R1048717,22-Jan-18,,Sales Invoices,0.00,"663,887.27","-290,768,814.35"
22-Jan-18,216-GA1801R1048718,22-Jan-18,,Sales Invoices,0.00,"1,399,688.18","-292,168,502.53"
22-Jan-18,216-GA1801R1048720,22-Jan-18,,Sales Invoices,0.00,"671,727.27","-292,840,229.80"
22-Jan-18,216-GA1801R1048721,22-Jan-18,,Sales Invoices,0.00,"1,111,341.82","-293,951,571.62"
22-Jan-18,216-GA1801R1048722,22-Jan-18,,Sales Invoices,0.00,"175,000.00","-294,126,571.62"
22-Jan-18,216-GA1801R1048724,22-Jan-18,,Sales Invoices,0.00,"1,155,719.09","-295,282,290.71"
22-Jan-18,216-GA1801R1048725,22-Jan-18,,Sales Invoices,0.00,"1,105,619.09","-296,387,909.80"
22-Jan-18,216-GA1801R1048726,22-Jan-18,,Sales Invoices,0.00,"1,200,032.27","-297,587,942.07"
22-Jan-18,216-GA1801R1048727,22-Jan-18,,Sales Invoices,0.00,"793,570.00","-298,381,512.07"
22-Jan-18,216-GA1801R1048728,22-Jan-18,,Sales Invoices,0.00,"1,425,316.36","-299,806,828.43"
22-Jan-18,216-GA1801R1048730,22-Jan-18,,Sales Invoices,0.00,"927,666.82","-300,734,495.25"
22-Jan-18,216-GA1801R1048733,22-Jan-18,,Sales Invoices,0.00,"68,180.00","-300,802,675.25"
22-Jan-18,216-GA1801R1048734,22-Jan-18,,Sales Invoices,0.00,"1,551,227.27","-302,353,902.52"
22-Jan-18,216-WA1801R1048713,22-Jan-18,,Sales Invoices,0.00,"1,447,636.36","-303,801,538.88"
22-Jan-18,216-WA1801R1048714,22-Jan-18,,Sales Invoices,0.00,"664,727.27","-304,466,266.15"
22-Jan-18,216-WA1801R1048716,22-Jan-18,,Sales Invoices,0.00,"1,172,546.36","-305,638,812.51"
23-Jan-18,216-GA1801R1048736,23-Jan-18,,Sales Invoices,0.00,"718,660.91","-306,357,473.42"
23-Jan-18,216-GA1801R1048737,23-Jan-18,,Sales Invoices,0.00,"1,240,207.27","-307,597,680.69"
23-Jan-18,216-GA1801R1048740,23-Jan-18,,Sales Invoices,0.00,"912,485.00","-308,510,165.69"
23-Jan-18,216-GA1801R1048741,23-Jan-18,,Sales Invoices,0.00,"1,026,121.36","-309,536,287.05"
23-Jan-18,216-GA1801R1048742,23-Jan-18,,Sales Invoices,0.00,"1,819,472.73","-311,355,759.78"
23-Jan-18,216-GA1801R1048743,23-Jan-18,,Sales Invoices,0.00,"252,409.09","-311,608,168.87"
23-Jan-18,216-GA1801R1048744,23-Jan-18,,Sales Invoices,0.00,"616,908.18","-312,225,077.05"
23-Jan-18,216-GA1801R1048745,23-Jan-18,,Sales Invoices,0.00,"820,247.27","-313,045,324.32"
23-Jan-18,216-GA1801R1048746,23-Jan-18,,Sales Invoices,0.00,"748,110.91","-313,793,435.23"
23-Jan-18,216-GA1801R1048747,23-Jan-18,,Sales Invoices,0.00,"205,772.73","-313,999,207.96"
23-Jan-18,216-GA1801R1048748,23-Jan-18,,Sales Invoices,0.00,"3,167,591.82","-317,166,799.78"
23-Jan-18,216-GA1801R1048749,23-Jan-18,,Sales Invoices,0.00,"1,343,296.36","-318,510,096.14"
23-Jan-18,216-GA1801R1048750,23-Jan-18,,Sales Invoices,0.00,"46,000.00","-318,556,096.14"
23-Jan-18,216-GA1801R1048751,23-Jan-18,,Sales Invoices,0.00,"771,071.36","-319,327,167.50"
23-Jan-18,216-GA1801R1048752,23-Jan-18,,Sales Invoices,0.00,"52,500.00","-319,379,667.50"
23-Jan-18,216-GA1801R1048753,23-Jan-18,,Sales Invoices,0.00,"795,701.82","-320,175,369.32"
23-Jan-18,216-GA1801R1048754,23-Jan-18,,Sales Invoices,0.00,"829,338.18","-321,004,707.50"
23-Jan-18,216-GA1801R1048758,23-Jan-18,,Sales Invoices,0.00,"35,000.00","-321,039,707.50"
24-Jan-18,216-GA1801R1048762,24-Jan-18,,Sales Invoices,0.00,"194,545.45","-321,234,252.95"
24-Jan-18,216-GA1801R1048763,24-Jan-18,,Sales Invoices,0.00,"3,784,864.18","-325,019,117.13"
24-Jan-18,216-GA1801R1048764,24-Jan-18,,Sales Invoices,0.00,"680,279.09","-325,699,396.22"
24-Jan-18,216-GA1801R1048766,24-Jan-18,,Sales Invoices,0.00,"68,180.00","-325,767,576.22"
24-Jan-18,216-GA1801R1048767,24-Jan-18,,Sales Invoices,0.00,"903,718.18","-326,671,294.40"
24-Jan-18,216-GA1801R1048769,24-Jan-18,,Sales Invoices,0.00,"1,847,475.91","-328,518,770.31"
24-Jan-18,216-GA1801R1048779,24-Jan-18,,Sales Invoices,0.00,"921,575.91","-329,440,346.22"
24-Jan-18,216-GA1801R1048780,24-Jan-18,,Sales Invoices,0.00,"748,110.91","-330,188,457.13"
24-Jan-18,216-GA1801R1048781,24-Jan-18,,Sales Invoices,0.00,"2,768,392.27","-332,956,849.40"
24-Jan-18,216-GA1801R1048782,24-Jan-18,,Sales Invoices,0.00,"745,934.55","-333,702,783.95"
24-Jan-18,216-GA1801R1048783,24-Jan-18,,Sales Invoices,0.00,"976,204.55","-334,678,988.50"
24-Jan-18,216-WA1801R1048771,24-Jan-18,,Sales Invoices,0.00,"671,637.27","-335,350,625.77"
25-Jan-18,216-GA1801R1048790,25-Jan-18,,Sales Invoices,0.00,"145,455.45","-335,496,081.22"
25-Jan-18,216-GA1801R1048792,25-Jan-18,,Sales Invoices,0.00,"845,046.36","-336,341,127.58"
25-Jan-18,216-GA1801R1048795,25-Jan-18,,Sales Invoices,0.00,"984,500.91","-337,325,628.49"
25-Jan-18,216-GA1801R1048796,25-Jan-18,,Sales Invoices,0.00,"781,479.09","-338,107,107.58"
26-Jan-18,216-GA1801R1048800,26-Jan-18,,Sales Invoices,0.00,"1,566,000.00","-339,673,107.58"
26-Jan-18,216-GA1801R1048801,26-Jan-18,,Sales Invoices,0.00,"783,000.00","-340,456,107.58"
26-Jan-18,216-GA1801R1048802,26-Jan-18,,Sales Invoices,0.00,"393,000.00","-340,849,107.58"
26-Jan-18,216-GA1801R1048803,26-Jan-18,,Sales Invoices,0.00,"1,542,363.64","-342,391,471.22"
26-Jan-18,216-GA1801R1048805,26-Jan-18,,Sales Invoices,0.00,"951,455.45","-343,342,926.67"
26-Jan-18,216-GA1801R1048806,26-Jan-18,,Sales Invoices,0.00,"1,233,957.27","-344,576,883.94"
26-Jan-18,216-GA1801R1048807,26-Jan-18,,Sales Invoices,0.00,"387,137.27","-344,964,021.21"
26-Jan-18,216-GA1801R1048808,26-Jan-18,,Sales Invoices,0.00,"1,277,832.27","-346,241,853.48"
26-Jan-18,216-GA1801R1048809,26-Jan-18,,Sales Invoices,0.00,"806,460.00","-347,048,313.48"
26-Jan-18,216-GA1801R1048810,26-Jan-18,,Sales Invoices,0.00,"834,940.45","-347,883,253.93"
26-Jan-18,216-GA1801R1048811,26-Jan-18,,Sales Invoices,0.00,"933,120.45","-348,816,374.38"
26-Jan-18,216-GA1801R1048812,26-Jan-18,,Sales Invoices,0.00,"36,363.64","-348,852,738.02"
26-Jan-18,216-GA1801R1048813,26-Jan-18,,Sales Invoices,0.00,"967,356.36","-349,820,094.38"
26-Jan-18,216-GA1801R1048814,26-Jan-18,,Sales Invoices,0.00,"613,908.18","-350,434,002.56"
26-Jan-18,216-GA1801R1048815,26-Jan-18,,Sales Invoices,0.00,"214,750.00","-350,648,752.56"
26-Jan-18,216-GA1801R1048816,26-Jan-18,,Sales Invoices,0.00,"947,613.64","-351,596,366.20"
26-Jan-18,216-GA1801R1048818,26-Jan-18,,Sales Invoices,0.00,"1,022,757.73","-352,619,123.93"
26-Jan-18,216-GA1801R1048819,26-Jan-18,,Sales Invoices,0.00,"214,409.09","-352,833,533.02"
26-Jan-18,216-GA1801R1048820,26-Jan-18,,Sales Invoices,0.00,"832,212.27","-353,665,745.29"
26-Jan-18,216-GA1801R1048822,26-Jan-18,,Sales Invoices,0.00,"255,910.00","-353,921,655.29"
26-Jan-18,216-GA1801R1048823,26-Jan-18,,Sales Invoices,0.00,"825,478.18","-354,747,133.47"
26-Jan-18,216-GA1801R1048826,26-Jan-18,,Sales Invoices,0.00,"1,489,612.73","-356,236,746.20"
26-Jan-18,216-GA1801R1048831,26-Jan-18,,Sales Invoices,0.00,"828,000.91","-357,064,747.11"
27-Jan-18,216-GA1801R1048833,27-Jan-18,,Sales Invoices,0.00,"80,455.45","-357,145,202.56"
27-Jan-18,216-GA1801R1048836,27-Jan-18,,Sales Invoices,0.00,"1,230,029.55","-358,375,232.11"
27-Jan-18,216-GA1801R1048837,27-Jan-18,,Sales Invoices,0.00,"920,277.27","-359,295,509.38"
27-Jan-18,216-GA1801R1048839,27-Jan-18,,Sales Invoices,0.00,"1,836,089.55","-361,131,598.93"
27-Jan-18,216-GA1801R1048840,27-Jan-18,,Sales Invoices,0.00,"948,052.73","-362,079,651.66"
27-Jan-18,216-GA1801R1048841,27-Jan-18,,Sales Invoices,0.00,"751,796.36","-362,831,448.02"
27-Jan-18,216-GA1801R1048842,27-Jan-18,,Sales Invoices,0.00,"1,941,231.82","-364,772,679.84"
29-Jan-18,216-GA1801R1048843,29-Jan-18,,Sales Invoices,0.00,"1,726,100.00","-366,498,779.84"
29-Jan-18,216-GA1801R1048847,29-Jan-18,,Sales Invoices,0.00,"726,206.36","-367,224,986.20"
29-Jan-18,216-GA1801R1048848,29-Jan-18,,Sales Invoices,0.00,"650,022.73","-367,875,008.93"
29-Jan-18,216-GA1801R1048849,29-Jan-18,,Sales Invoices,0.00,"1,088,039.09","-368,963,048.02"
29-Jan-18,216-GA1801R1048855,29-Jan-18,,Sales Invoices,0.00,"1,731,413.64","-370,694,461.66"
29-Jan-18,216-GA1801R1048856,29-Jan-18,,Sales Invoices,0.00,"497,293.64","-371,191,755.30"
29-Jan-18,216-GA1801R1048858,29-Jan-18,,Sales Invoices,0.00,"886,455.45","-372,078,210.75"
29-Jan-18,216-GA1801R1048859,29-Jan-18,,Sales Invoices,0.00,"929,952.73","-373,008,163.48"
29-Jan-18,216-GA1801R1048860,29-Jan-18,,Sales Invoices,0.00,"2,197,812.27","-375,205,975.75"
29-Jan-18,216-GA1801R1048861,29-Jan-18,,Sales Invoices,0.00,"1,114,302.27","-376,320,278.02"
29-Jan-18,216-GA1801R1048862,29-Jan-18,,Sales Invoices,0.00,"714,553.36","-377,034,831.38"
29-Jan-18,216-GA1801R1048863,29-Jan-18,,Sales Invoices,0.00,"4,600.00","-377,039,431.38"
29-Jan-18,216-GA1801R1048868,29-Jan-18,,Sales Invoices,0.00,"6,449,782.73","-383,489,214.11"
29-Jan-18,216-GA1801R1048869,29-Jan-18,,Sales Invoices,0.00,"1,248,726.64","-384,737,940.75"
29-Jan-18,216-GA1801R1048870,29-Jan-18,,Sales Invoices,0.00,"1,337,818.36","-386,075,759.11"
29-Jan-18,216-GA1801R1048871,29-Jan-18,,Sales Invoices,0.00,"1,187,818.18","-387,263,577.29"
29-Jan-18,216-GA1801R1048872,29-Jan-18,,Sales Invoices,0.00,"712,090.91","-387,975,668.20"
29-Jan-18,216-GA1801R1048873,29-Jan-18,,Sales Invoices,0.00,"1,365,090.00","-389,340,758.20"
29-Jan-18,216-GA1801R1048874,29-Jan-18,,Sales Invoices,0.00,"998,728.18","-390,339,486.38"
29-Jan-18,216-GA1801R1048875,29-Jan-18,,Sales Invoices,0.00,"81,477.27","-390,420,963.65"
29-Jan-18,216-GA1801R1048876,29-Jan-18,,Sales Invoices,0.00,"325,680.00","-390,746,643.65"
29-Jan-18,216-GA1801R1048878,29-Jan-18,,Sales Invoices,0.00,"72,043.64","-390,818,687.29"
29-Jan-18,216-GA1801R1048879,29-Jan-18,,Sales Invoices,0.00,"362,498.18","-391,181,185.47"
29-Jan-18,216-GA1801R1048882,29-Jan-18,,Sales Invoices,0.00,"1,276,206.82","-392,457,392.29"
29-Jan-18,216-GA1801R1048883,29-Jan-18,,Sales Invoices,0.00,"1,042,117.73","-393,499,510.02"
29-Jan-18,216-GA1801R1048884,29-Jan-18,,Sales Invoices,0.00,"1,083,860.91","-394,583,370.93"
29-Jan-18,216-GA1801R1048886,29-Jan-18,,Sales Invoices,0.00,"17,500.00","-394,600,870.93"
29-Jan-18,216-GA1801R1048888,29-Jan-18,,Sales Invoices,0.00,"17,500.00","-394,618,370.93"
29-Jan-18,216-GA1801R1048889,29-Jan-18,,Sales Invoices,0.00,"17,500.00","-394,635,870.93"
30-Jan-18,216-GA1801R1048892,30-Jan-18,,Sales Invoices,0.00,"740,840.91","-395,376,711.84"
30-Jan-18,216-GA1801R1048894,30-Jan-18,,Sales Invoices,0.00,"1,741,009.09","-397,117,720.93"
30-Jan-18,216-GA1801R1048895,30-Jan-18,,Sales Invoices,0.00,"1,056,230.91","-398,173,951.84"
30-Jan-18,216-GA1801R1048896,30-Jan-18,,Sales Invoices,0.00,"974,025.45","-399,147,977.29"
30-Jan-18,216-GA1801R1048897,30-Jan-18,,Sales Invoices,0.00,"1,097,254.82","-400,245,232.11"
30-Jan-18,216-GA1801R1048898,30-Jan-18,,Sales Invoices,0.00,"1,037,596.36","-401,282,828.47"
30-Jan-18,216-GA1801R1048899,30-Jan-18,,Sales Invoices,0.00,"946,847.73","-402,229,676.20"
30-Jan-18,216-GA1801R1048900,30-Jan-18,,Sales Invoices,0.00,"945,483.91","-403,175,160.11"
30-Jan-18,216-GA1801R1048905,30-Jan-18,,Sales Invoices,0.00,"1,932,248.18","-405,107,408.29"
30-Jan-18,216-GA1801R1048906,30-Jan-18,,Sales Invoices,0.00,"784,479.09","-405,891,887.38"
30-Jan-18,216-GA1801R1048908,30-Jan-18,,Sales Invoices,0.00,"575,000.00","-406,466,887.38"
30-Jan-18,216-GA1801R1048909,30-Jan-18,,Sales Invoices,0.00,"918,575.91","-407,385,463.29"
30-Jan-18,216-GA1801R1048917,30-Jan-18,,Sales Invoices,0.00,"267,273.64","-407,652,736.93"
30-Jan-18,216-GA1801R1048919,30-Jan-18,,Sales Invoices,0.00,"601,661.36","-408,254,398.29"
30-Jan-18,216-GA1801R1048921,30-Jan-18,,Sales Invoices,0.00,"73,636.36","-408,328,034.65"
30-Jan-18,216-GA1801R1048922,30-Jan-18,,Sales Invoices,0.00,"828,520.00","-409,156,554.65"
30-Jan-18,216-GA1801R1048923,30-Jan-18,,Sales Invoices,0.00,"821,119.55","-409,977,674.20"
30-Jan-18,216-GA1801R1048925,30-Jan-18,,Sales Invoices,0.00,"1,138,639.09","-411,116,313.29"
30-Jan-18,216-GA1801R1048926,30-Jan-18,,Sales Invoices,0.00,"1,046,530.00","-412,162,843.29"
30-Jan-18,216-GA1801R1048927,30-Jan-18,,Sales Invoices,0.00,"822,707.27","-412,985,550.56"
30-Jan-18,216-GA1801R1048928,30-Jan-18,,Sales Invoices,0.00,"583,548.18","-413,569,098.74"
30-Jan-18,216-GA1801R1048929,30-Jan-18,,Sales Invoices,0.00,"943,476.36","-414,512,575.10"
30-Jan-18,216-GA1801R1048930,30-Jan-18,,Sales Invoices,0.00,"781,479.09","-415,294,054.19"
30-Jan-18,216-GA1801R1048931,30-Jan-18,,Sales Invoices,0.00,"1,017,118.64","-416,311,172.83"
30-Jan-18,216-GA1801R1048933,30-Jan-18,,Sales Invoices,0.00,"834,940.45","-417,146,113.28"
30-Jan-18,216-GA1801R1048938,30-Jan-18,,Sales Invoices,0.00,"725,953.64","-417,872,066.92"
30-Jan-18,216-GA1801R1048940,30-Jan-18,,Sales Invoices,0.00,"710,456.36","-418,582,523.28"
30-Jan-18,216-GA1801R1048941,30-Jan-18,,Sales Invoices,0.00,"894,318.18","-419,476,841.46"
30-Jan-18,216-GA1801R1048943,30-Jan-18,,Sales Invoices,0.00,"409,363.64","-419,886,205.10"
31-Jan-18,216-CM1801R1048952,31-Jan-18,,Credit Memos,"819,387.27",0.00,"-419,066,817.83"
31-Jan-18,216-GA1801R1048951,31-Jan-18,,Sales Invoices,0.00,"23,000.00","-419,089,817.83"
31-Jan-18,216-GA1801R1048952,31-Jan-18,,Sales Invoices,0.00,"819,387.27","-419,909,205.10"
31-Jan-18,216-GA1801R1048952-1,31-Jan-18,,Sales Invoices,0.00,"819,387.27","-420,728,592.37"
31-Jan-18,216-GA1801R1048953,31-Jan-18,,Sales Invoices,0.00,"800,369.09","-421,528,961.46"
31-Jan-18,216-GA1801R1048954,31-Jan-18,,Sales Invoices,0.00,"619,896.36","-422,148,857.82"
31-Jan-18,216-GA1801R1048955,31-Jan-18,,Sales Invoices,0.00,"646,637.45","-422,795,495.27"
31-Jan-18,216-GA1801R1048956,31-Jan-18,,Sales Invoices,0.00,"230,000.00","-423,025,495.27"
31-Jan-18,216-GA1801R1048957,31-Jan-18,,Sales Invoices,0.00,"64,409.09","-423,089,904.36"
31-Jan-18,216-GA1801R1048958,31-Jan-18,,Sales Invoices,0.00,"538,363.64","-423,628,268.00"
31-Jan-18,216-GA1801R1048959,31-Jan-18,,Sales Invoices,0.00,"1,424,181.82","-425,052,449.82"
31-Jan-18,216-GA1801R1048960,31-Jan-18,,Sales Invoices,0.00,"3,078,728.18","-428,131,178.00"
31-Jan-18,216-GA1801R1048962,31-Jan-18,,Sales Invoices,0.00,"862,065.45","-428,993,243.45"
31-Jan-18,216-GA1801R1048963,31-Jan-18,,Sales Invoices,0.00,"1,152,172.27","-430,145,415.72"
31-Jan-18,216-GA1801R1048964,31-Jan-18,,Sales Invoices,0.00,"1,730,837.27","-431,876,252.99"
31-Jan-18,216-GA1801R1048966,31-Jan-18,,Sales Invoices,0.00,"990,820.00","-432,867,072.99"
31-Jan-18,216-GA1801R1048967,31-Jan-18,,Sales Invoices,0.00,"1,420,772.73","-434,287,845.72"
31-Jan-18,216-GA1801R1048968,31-Jan-18,,Sales Invoices,0.00,"208,978.18","-434,496,823.90"
31-Jan-18,216-GA1801R1048970,31-Jan-18,,Sales Invoices,0.00,"62,059.09","-434,558,882.99"
31-Jan-18,216-GA1801R1048971,31-Jan-18,,Sales Invoices,0.00,"1,057,847.73","-435,616,730.72"
31-Jan-18,216-GA1801R1048973,31-Jan-18,,Sales Invoices,0.00,"741,453.64","-436,358,184.36"
31-Jan-18,216-GA1801R1048975,31-Jan-18,,Sales Invoices,0.00,"214,409.09","-436,572,593.45"
31-Jan-18,216-GA1801R1048976,31-Jan-18,,Sales Invoices,0.00,"609,090.91","-437,181,684.36"
31-Jan-18,216-GA1801R1048978,31-Jan-18,,Sales Invoices,0.00,"1,334,706.36","-438,516,390.72"
31-Jan-18,216-GA1801R1048980,31-Jan-18,,Sales Invoices,0.00,"1,293,797.27","-439,810,187.99"
31-Jan-18,216-GA1801R1048982,31-Jan-18,,Sales Invoices,0.00,"1,511,530.45","-441,321,718.44"
31-Jan-18,216-GA1801R1048983,31-Jan-18,,Sales Invoices,0.00,"250,910.00","-441,572,628.44"
31-Jan-18,216-GA1801R1048984,31-Jan-18,,Sales Invoices,0.00,"605,410.00","-442,178,038.44"
31-Jan-18,216-GA1801R1048985,31-Jan-18,,Sales Invoices,0.00,"451,769.09","-442,629,807.53"
31-Jan-18,216-GA1801R1048986,31-Jan-18,,Sales Invoices,0.00,"1,197,796.36","-443,827,603.89"
31-Jan-18,216-GA1801R1048987,31-Jan-18,,Sales Invoices,0.00,"1,057,847.73","-444,885,451.62"
31-Jan-18,216-GA1801R1048988,31-Jan-18,,Sales Invoices,0.00,"195,728.18","-445,081,179.80"
31-Jan-18,216-GA1801R1048989,31-Jan-18,,Sales Invoices,0.00,"1,666,229.09","-446,747,408.89"
31-Jan-18,216-GA1801R1048991,31-Jan-18,,Sales Invoices,0.00,"939,498.18","-447,686,907.07"
31-Jan-18,216-GA1801R1048992,31-Jan-18,,Sales Invoices,0.00,"69,000.00","-447,755,907.07"
31-Jan-18,216-GA1801R1048993,31-Jan-18,,Sales Invoices,0.00,"764,635.45","-448,520,542.52"
31-Jan-18,216-GA1801R1048994,31-Jan-18,,Sales Invoices,0.00,"1,293,797.27","-449,814,339.79"
31-Jan-18,216-GA1801R1048995,31-Jan-18,,Sales Invoices,0.00,"626,590.91","-450,440,930.70"
31-Jan-18,216-GA1801R1048996,31-Jan-18,,Sales Invoices,0.00,"1,939,067.27","-452,379,997.97"
31-Jan-18,216-GA1801R1049007,31-Jan-18,,Sales Invoices,0.00,"1,337,818.36","-453,717,816.33"
31-Jan-18,216-GA1801R1049021,31-Jan-18,,Sales Invoices,0.00,"225,861.82","-453,943,678.15"
31-Jan-18,216-GA1801R1049034,31-Jan-18,,Sales Invoices,0.00,"1,459,042.73","-455,402,720.88"
31-Jan-18,216-GA1801R1049035,31-Jan-18,,Sales Invoices,0.00,"1,172,442.27","-456,575,163.15"
31-Jan-18,216-GA1801R1049037,31-Jan-18,,Sales Invoices,0.00,"1,395,845.91","-457,971,009.06"
